==============================================================================
036D : LDX #30    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
036F : JSR 0433   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
0372 : JSR FE87   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
0384 : LDX #20    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0386 : JSR 0433   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
0389 : JSR FE87   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
0397 : LDX #33    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0399 : JSR 03F7   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
039C : JSR FE87   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
03A5 : BRA 03A5   :   234207 cycles (  1.241134%)    78069 ins (3.00 cpi) *********
03A7 : STZ FF01   :     2260 cycles (  0.011976%)      565 ins (4.00 cpi)
03AA : BIT FF9D   :     2260 cycles (  0.011976%)      565 ins (4.00 cpi)
03AD : BPL 03B8   :     1132 cycles (  0.005999%)      565 ins (2.00 cpi)
03AF : BIT FF94   :     2252 cycles (  0.011934%)      563 ins (4.00 cpi)
03B2 : INC 33     :     2815 cycles (  0.014918%)      563 ins (5.00 cpi)
03B4 : BNE 03B8   :     1687 cycles (  0.008940%)      563 ins (3.00 cpi)
03B6 : INC 34     :       10 cycles (  0.000053%)        2 ins (5.00 cpi)
03B8 : RTI        :     3390 cycles (  0.017965%)      565 ins (6.00 cpi)
03D7 : JSR FE87   :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
03DD : RTS        :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
03F7 : PHA        :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
03F8 : LDA 00,X   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
03FA : STA 18     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
03FC : LDA 01,X   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
03FE : STA 19     :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0400 : PHY        :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0401 : LDA #00    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
0403 : PHA        :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
0404 : LDA #00    :        6 cycles (  0.000032%)        3 ins (2.00 cpi)
0406 : STA 1A     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
0408 : LDY #10    :        6 cycles (  0.000032%)        3 ins (2.00 cpi)
040A : ASL 18     :      240 cycles (  0.001272%)       48 ins (5.00 cpi)
040C : ROL 19     :      240 cycles (  0.001272%)       48 ins (5.00 cpi)
040E : ROL 1A     :      240 cycles (  0.001272%)       48 ins (5.00 cpi)
0410 : LDA 1A     :      144 cycles (  0.000763%)       48 ins (3.00 cpi)
0412 : SEC        :       96 cycles (  0.000509%)       48 ins (2.00 cpi)
0413 : SBC #0A    :       96 cycles (  0.000509%)       48 ins (2.00 cpi)
0415 : BCC 041B   :      139 cycles (  0.000737%)       48 ins (2.90 cpi)
0417 : STA 1A     :       15 cycles (  0.000079%)        5 ins (3.00 cpi)
0419 : INC 18     :       25 cycles (  0.000132%)        5 ins (5.00 cpi)
041B : DEY        :       96 cycles (  0.000509%)       48 ins (2.00 cpi)
041C : BNE 040A   :      141 cycles (  0.000747%)       48 ins (2.94 cpi)
041E : LDA 1A     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
0420 : ORA #30    :        6 cycles (  0.000032%)        3 ins (2.00 cpi)
0422 : PHA        :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
0423 : LDA 18     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
0425 : ORA 19     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
0427 : BNE 0404   :        8 cycles (  0.000042%)        3 ins (2.67 cpi)
0429 : PLA        :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
042A : JSR FE72   :       18 cycles (  0.000095%)        3 ins (6.00 cpi)
042D : PLA        :       12 cycles (  0.000064%)        3 ins (4.00 cpi)
042E : BNE 042A   :        8 cycles (  0.000042%)        3 ins (2.67 cpi)
0430 : PLY        :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
0431 : PLA        :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
0432 : RTS        :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
0433 : PHA        :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
0434 : LDA 00,X   :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
0436 : STA 18     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
0438 : LDA 01,X   :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
043A : STA 19     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
043C : LDA 02,X   :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
043E : STA 1A     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
0440 : PHY        :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
0441 : LDA #00    :        4 cycles (  0.000021%)        2 ins (2.00 cpi)
0443 : PHA        :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
0444 : LDA #00    :       22 cycles (  0.000117%)       11 ins (2.00 cpi)
0446 : STA 1B     :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
0448 : LDY #18    :       22 cycles (  0.000117%)       11 ins (2.00 cpi)
044A : ASL 18     :     1320 cycles (  0.006995%)      264 ins (5.00 cpi)
044C : ROL 19     :     1320 cycles (  0.006995%)      264 ins (5.00 cpi)
044E : ROL 1A     :     1320 cycles (  0.006995%)      264 ins (5.00 cpi)
